"","x"
"972",32
"973",2
"974",1
"975",3
"976",60
"977",2
"978",1
"979",4
"980",1
"981",1
"982",1
"983",1
"984",4
"985",49
"986",3
"987",1
"988",2
"989",20
"990",1
"991",2
"992",1
"993",27
"994",2
"995",1
"996",101
"997",1
"998",3
"999",11
"1000",3
"1001",6
"1002",32
"1003",2
"1004",1
"1005",5
"1006",21
"1007",1
"1008",5
"1009",1
"1010",1
"1011",1
"1012",1
"1013",232
"1014",1
"1015",3
"1016",4
"1017",2
"1018",1
"1019",7
"1020",1
"1021",1
"1022",2
"1023",38
"1024",3
"1025",4
"1026",1
"1027",3
"1028",2
"1029",2
"1030",32
"1031",16
"1032",8
"1033",1
"1034",1
"1035",8
"1036",6
"1037",1
"1038",2
"1039",1
"1040",89
"1041",6
"1042",2
"1043",2
"1044",1
"1045",432
"1046",5
"1047",1
"1048",1
"1049",5
"1050",17
"1051",1
"1052",1
"1053",1
"1054",3
"1055",1
"1056",1
"1057",7
"1058",5
"1059",1
"1060",9
"1061",1
"1062",1
"1063",140
"1064",1
"1065",1
"1066",1
"1067",1
"1068",1
"1069",2
"1070",1
"1071",15
"1072",4
"1073",2
"1074",1
"1075",1
"1076",4
"1077",1
"1078",1
"1079",1
"1080",1
"1081",1
"1082",2
"1083",1
"1084",1
"1085",1
"1086",6
"1087",8
"1088",3
"1089",5
"1090",4
"1091",1
"1092",22
"1093",1
"1094",1
"1095",1
"1096",4
"1097",3
"1098",1
"1099",3
"1100",23
"1101",1
"1102",1
"1103",1
"1104",1
"1105",1
"1106",2
"1107",3
"1108",3
"1109",1
"1110",2
"1111",2
"1112",2
"1113",179
"1114",1
"1115",1
"1116",1
"1117",3
"1118",3
"1119",4
"1120",1
"1121",28
"1122",1
"1123",1
"1124",1
"1125",5
"1126",1
"1127",1
"1128",2
"1129",5
"1130",2
"1131",1
"1132",1
"1133",3
"1134",1
"1135",2
"1136",1
"1137",98
"1138",2
"1139",2
"1140",5
"1141",19
"1142",1
"1143",1
"1144",2
"1145",1
"1146",2
"1147",4
"1148",1
"1149",76
"1150",1
"1151",1
"1152",1
"1153",1
"1154",22
"1155",1
"1156",1
"1157",1
"1158",4
"1159",4
"1160",1
"1161",2
"1162",41
"1163",1
"1164",3
"1165",1
"1166",9
"1167",41
"1168",1
"1169",2
"1170",2
"1171",1
"1172",1
"1173",2
"1174",2
"1175",4
"1176",1
"1177",1
"1178",1
"1179",3
"1180",1
"1181",1
"1182",1
"1183",2
"1184",4
"1185",3
"1186",1
"1187",1
"1188",1
"1189",1
"1190",2
"1191",2
"1192",1
"1193",1
"1194",1
"1195",1
"1196",1
"1197",1
"1198",1
"1199",1
"1200",1
"1201",2
"1202",1
"1203",6
"1204",1
"1205",2
"1206",3
"1207",1
"1208",1
"1209",1
"1210",452
"1211",710
"1212",15
"1213",1
"1214",211
"1215",16
"1216",2
"1217",1
"1218",40
"1219",5
"1220",140
"1221",12
